Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge
1997-01-01,6.44,1.63586523,1.289740197,804000.0,-0.03268855357548
1997-01-02,6.44,1.719786917,1.371119323,788000.0,-0.0569672814450806
1997-01-03,6.28,1.654293821,1.449005935,771000.0,0.0082120144257469
1997-01-04,6.23,1.648429007,1.515584355,754000.0,0.205732484742748
1997-01-05,6.2,1.757605259,1.573033604,732000.0,0.292109062402674
1997-01-06,6.19,1.841141266,1.619570815,711000.0,0.387528277840722
1997-01-07,6.22,2.134869855,1.654537067,700000.0,0.591639077023951
1997-01-08,6.25,2.24811909,1.702341557,693000.0,0.719445228523048
1997-01-09,6.19,2.245735043,1.721580149,688000.0,0.856667561840122
1997-01-10,5.51,1.600462676,1.703366578,683000.0,0.0404524377346865
1997-01-11,5.54,1.685942389,1.638857514,679000.0,0.238600835413201
1997-01-12,5.38,1.561461665,1.535590137,670000.0,0.133330195012325
1997-01-13,5.36,1.600038114,1.407622367,658000.0,0.0776030473737969
1997-01-14,5.2,1.508190476,1.264683491,645000.0,0.0148593343318461
1997-01-15,5.32,1.418409956,1.180459437,636000.0,0.528506688341898
1997-01-16,5.08,1.435276015,1.27383963,619000.0,0.717748327087332
1997-01-17,4.65,1.120013709,1.34082964,609000.0,-0.263694520394745
1997-01-18,4.57,1.107501239,1.367387864,599000.0,-0.25841823588499
1997-01-19,4.5,1.053906257,1.383665556,588000.0,-0.290843425262093
1997-01-20,4.44,1.120213976,1.392678484,575000.0,-0.296692430052935
1997-01-21,4.38,1.174860954,1.392512027,560000.0,0.0324289876154527
1997-01-22,4.36,1.235760082,1.381218127,512000.0,0.35486882732453
1997-01-23,4.25,1.45863729,1.3731467,495000.0,0.321171217125656
1997-01-24,4.25,1.607086031,1.357834872,477000.0,0.649493660263191
1997-01-25,4.14,1.630882111,1.340996025,475000.0,0.498611295579332
1997-01-26,4.09,1.507765223,1.328864294,478000.0,0.438644883999335
1997-01-27,4.16,1.654253151,1.317448107,485000.0,0.560395732993478
1997-01-28,4.24,1.528905629,1.308279311,560000.0,0.796095957240427
1997-01-29,4.3,1.147729021,1.30166398,584000.0,0.176111991537715
1997-01-30,4.36,1.023847187,1.37089419,600000.0,0.0888525330548977
1997-01-31,4.45,0.957197508,1.462434942,616000.0,-0.141742167214486
1997-02-01,4.73,1.136844947,1.556403498,638000.0,-0.02484767901289
1997-02-02,4.88,1.17535384,1.641727203,660000.0,-0.0400873197180396
1997-02-03,5.09,1.213862733,1.711284605,680000.0,0.214062018695359
1997-02-04,5.6,1.606143545,1.75282119,702000.0,0.446164632378695
1997-02-05,5.66,1.514652438,1.78002784,723000.0,0.279584950943361
1997-02-06,5.88,1.590047291,1.809059111,743000.0,0.151932237625938
1997-02-07,6.11,1.682328103,1.798500485,761000.0,0.442914611301216
1997-02-08,6.21,1.828257495,1.749472055,777000.0,0.472055357381877
1997-02-09,6.05,1.572570755,1.661031998,799000.0,-0.0564623179222545
1997-02-10,6.19,1.567070838,1.534305831,806000.0,-0.0629554039381285
1997-02-11,6.31,1.453825594,1.38029569,827000.0,-0.10036915810699
1997-02-12,6.83,1.823907513,1.301923001,835000.0,0.358731521185417
1997-02-13,7.35,2.477714461,1.411812473,859000.0,1.30199279418457
1997-02-14,7.09,1.763556812,1.486339208,879000.0,0.523438395671392
1997-02-15,6.94,1.620587475,1.533229366,880000.0,0.117798292863508
1997-02-16,6.8,1.493784634,1.563876357,878000.0,-0.168687252549418
1997-02-17,6.71,1.446698573,1.575808112,883000.0,-0.336721958212995
1997-02-18,6.78,1.390831297,1.584916456,878000.0,-0.141910059435922
1997-02-19,6.85,1.534159322,1.597184452,878000.0,0.0673046188436738
1997-02-20,6.96,1.632669184,1.60379673,868000.0,0.338163537642309
1997-02-21,7.01,1.898958783,1.589326417,857000.0,0.891286394608018
1997-02-22,6.86,1.794137026,1.56776774,844000.0,0.437654950461584
1997-02-23,6.55,1.619457373,1.536452974,827000.0,0.15935626436152
1997-02-24,6.51,1.68074614,1.507737637,808000.0,0.179386683556137
